filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	calibration_strand_genome_template	calibration_strand_identity_template	calibration_strand_accuracy_template	aligned_speed_bps_template	barcode_arrangement	barcode_score	barcode_full_arrangement	front_score	rear_score	front_begin_index	front_foundseq_length	rear_end_index	rear_foundseq_length	kit	variant
BD105_CAMERA_20180226_FAH57651_MN23500_mux_scan_60053_read_68_ch_68_strand.fast5	efadcc0b-d7cc-46ed-bbb1-317e16debf86	c9b4db03c278468dc556c791dfbf406e20039fca	68	15.364	3.20675	1862	False	0.879	1862	2.32775	1862	50	2.99	-0.0024	filtered_out	-1.0	-1.0	0.0	unclassified	30.769229888916016	NB12_var2	4.044444561004639	30.769229888916016	25	21	32	20	NB	var2
BD105_CAMERA_20180226_FAH57651_MN23500_sequencing_run_16499_read_496_ch_65_strand.fast5	7e5f40e7-b996-4aa2-bedc-071896aa6a05	320b19fc0e3700ad93ea7fe01aae1e9ce85a1bad	65	77.861	4.04825	3194	True	0.055	3194	3.99325	3194	1565	9.425	-0.0022	filtered_out	-1.0	-1.0	0.0	barcode05	87.29412078857422	RAB05_var2	87.29412078857422	63.2156867980957	52	51	1	53	RAB	var2
BD105_CAMERA_20180226_FAH57651_MN23500_sequencing_run_16499_read_714_ch_451_strand.fast5	98235eb8-2a4b-41ab-ae08-648477d47a4c	320b19fc0e3700ad93ea7fe01aae1e9ce85a1bad	451	115.187	1.00125	0	False	0.0	0	0.0	0	0	0.0	0.0	no_match	-1.0	-1.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
BD105_CAMERA_20180226_FAH57783_MN23500_mux_scan_porevita_fingerscrossed1_93654_read_111_ch_208_strand.fast5	25f1c36f-e0ed-4eda-aba2-7c82abcc166b	bc245ecde2138fdcae76cab67998e01845726966	208	51.94075	1.597	0	False	0.0	0	0.0	0	0	0.0	0.0	no_match	-1.0	-1.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
BD105_CAMERA_20180226_FAH57783_MN23500_mux_scan_porevita_fingerscrossed1_93654_read_12_ch_64_strand.fast5	d6d3616c-bd17-4faf-950c-eaed97b6898c	bc245ecde2138fdcae76cab67998e01845726966	64	7.71725	1.70925	0	False	0.0	0	0.0	0	0	0.0	0.0	no_match	-1.0	-1.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
BD105_CAMERA_20180226_FAH57783_MN23500_mux_scan_porevita_fingerscrossed1_93654_read_147_ch_186_strand.fast5	894509c7-d220-463e-95d2-4887618075bc	bc245ecde2138fdcae76cab67998e01845726966	186	50.88025	3.82575	2712	False	0.4355	2712	3.39025	2712	192	3.672	-0.0014	filtered_out	-1.0	-1.0	0.0	unclassified	30.509803771972656	RAB02_var2	30.509803771972656	22.941177368164062	25	43	98	32	RAB	var2
BD105_CAMERA_20180226_FAH57783_MN23500_mux_scan_porevita_fingerscrossed1_93654_read_264_ch_494_strand.fast5	64213a5c-8bec-4248-9474-4883a6775d25	bc245ecde2138fdcae76cab67998e01845726966	494	71.415	1.21075	0	False	0.0	0	0.0	0	0	0.0	0.0	no_match	-1.0	-1.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
BD105_CAMERA_20180226_FAH57783_MN23500_mux_scan_porevita_fingerscrossed1_93654_read_46_ch_15_strand.fast5	dfa7e860-f091-4f4e-bd26-8836a7874263	bc245ecde2138fdcae76cab67998e01845726966	15	68.90775	6.394	4999	False	0.145	4999	6.249	4999	117	3.006	-0.0015	filtered_out	-1.0	-1.0	0.0	unclassified	33.74359130859375	NB02_var2	16.311111450195312	33.74359130859375	85	31	109	25	NB	var2
BD105_CAMERA_20180226_FAH57783_MN23500_mux_scan_porevita_fingerscrossed1_93654_read_4_ch_287_strand.fast5	40fd0d89-3560-43ce-8519-b7dc45ddd252	bc245ecde2138fdcae76cab67998e01845726966	287	6.25475	12.39375	7441	False	3.0915	7441	9.30225	7441	354	3.053	-0.0019	filtered_out	-1.0	-1.0	0.0	unclassified	31.372549057006836	RLB03	31.372549057006836	21.372549057006836	23	35	81	42	RLB	n/a
BD105_CAMERA_20180226_FAH57783_MN23500_mux_scan_porevita_fingerscrossed1_93654_read_53_ch_172_strand.fast5	3fc0e23c-4c6e-4a70-ae2c-0049f89c37f1	bc245ecde2138fdcae76cab67998e01845726966	172	46.989	1.76175	0	False	0.0	0	0.0	0	0	0.0	0.0	no_match	-1.0	-1.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
